mbid,artist_lastfm,country_lastfm,listeners_lastfm,scrobbles_lastfm
329a39e5-1a9f-4a6a-8e68-49fc8b400a63,Martyn,Netherlands; United Kingdom,129219,1746653
10adbe5e-a2c0-4bf3-8249-2b4cbf6e6ca8,Massive Attack,United Kingdom,2577949,117454784
f919671d-c6b7-4d42-9004-3a93eceb5be9,Mickey & Sylvia,United States,105686,441011
b5ffc3aa-b868-4b88-905f-d73d51dbe51c,Mick Jagger,United Kingdom,275136,2097898
ab7b79e9-2671-40c7-a540-838f75b0c04e,Mighty Sparrow,Grenada; Trinidad and Tobago,26305,206514
1be2e508-905c-4d90-9bf2-7ab55f78b3e6,Mike Bloomfield,Germany; United States,60143,384420
98eb6868-9f31-400e-90d8-9a46380c1bdd,Missing Persons,United States,133931,902432
802484e0-90de-4611-9fa4-f5ef0c7727b6,Mississippi John Hurt,United States,201412,2214739
fb09fcfb-8bba-4efb-8b23-332fba448fc1,Morris Albert,Brazil; United States,32513,122990
013fa897-86db-41d3-8e9f-386c8a34f4e6,Morrissey,United Kingdom,1222894,54059920
3fff189a-1113-4006-b5a1-31382bd16bc2,Nalin & Kane,Belgium; Germany; Netherlands; United Kingdom,125684,606264
d7426d9d-dade-4c73-b2ee-a4dfcc373704,Neeti Mohan,India,3586,26165
7cf8a532-02e8-4d90-af31-59c4a90d098f,Noel Pointer,United States,11105,41422
6ef00829-fa94-4fee-a5a6-b28e1208e96a,ONE OK ROCK,Japan,150242,18949258
af7d515d-de4c-4275-a9b4-08b631361f54,Orden Ogan,Germany,46856,1605024
73fdb566-a9b1-494c-9f32-51768ec9fd27,OutKast,Georgia; United States,2508114,48749317
58b28b91-30a2-4c7e-8469-61c26f63710e,Patty Duke,United States,2525,13876
a9111778-8cf7-413f-919c-793e4eb46487,Patty & The Emblems,Jersey,25707,58947
420c6768-0885-415a-bb59-d6a275121125,Paul Anka,Canada; United States,416574,3271162
5938c629-1d06-480b-9780-859b153af11e,Paulina Rubio,Mexico; Spain,305327,3464377
7224137d-66a9-4b87-8b22-18d90c4a1b13,Paul Lekakis,Greece; United States,12814,51157
459ecf74-7f1f-434c-a304-73b78e9cdc97,Poco,United States,109226,906962
3ef77bdc-b1ce-4e44-aa4b-acfa763c5284,Powerwolf,Germany,147481,9393334
bff8b4fc-38e4-447b-b231-873003c82d6a,Profyle,United States,7162,35155
0c7eedb5-42e4-4002-9456-2da98f5790f1,Pulsedriver,Germany,212376,1791776
c91823bc-3074-48f7-b6fe-ccda9310d2f5,Ray Price,United States,87234,632812
e1235abf-1fab-40a5-833a-057968d90e48,Regina Belle,Jersey; United States,77046,441487
4528b43b-eb88-44e1-8f64-c8be9359467d,Reuben Wilson,Poland; United States,59336,285466
408d6112-db35-4ee7-9d0d-ffbced1df329,Revolution Renaissance,Finland,50037,870191
bd53f9a7-8be9-46b0-bf7d-1deea3cb57bc,Robert Plant,United Kingdom,544720,6605441
7de59a20-5fe8-4c3c-88a1-8422ca43fea2,Runemagick,Sweden,13679,499212
e545122e-81fd-41b2-853f-27afc1604b4c,Sammy Turner,United States,5124,15126
4d2250e4-a273-48b0-a49c-5f62dbd1542c,Saratoga,Spain,30105,1424142
482a9b74-712a-4902-a5b2-69ebe10c7f33,Sérgio Ricardo,Brazil,4615,32370
3fc945b4-bbb8-408a-8c2f-d636441b5dfe,Seven Mary Three,United States,265832,1959004
8ca7761c-b5eb-44b7-b4e3-273e70466688,Shelby Flint,United States,9242,60916
bf1b23ea-9b76-42cf-a5f6-4a691e81af5e,Sidney Bechet,United States,202831,1705551
eb708aab-3d2f-4cdc-9329-3cd5098ae0e0,Silver Fist,Spain,3162,64028
5fcd6db8-979c-42e3-99a6-fd8302f82a9d,Sirenia,Norway,343361,12443041
1c3a6d01-746c-4729-9281-8c1f5ba480e7,Six Feet Deep,United States,1320,16588
c550ece3-1e77-4323-855d-b7aba78f7a03,Six Feet Deep,United States,1320,16588
a66999a7-ae5c-460e-ba94-1a01143ae847,Snow Patrol,Ireland; Scotland; United Kingdom,2982390,89077807
ebd39596-e2bb-4b3c-a661-412a4198a083,Sonny Sharrock,United States,35766,287726
e9e2a634-984f-4c10-bf7b-7970179e1ef1,Suicidal Tendencies,United States,378572,9703447
c27cac8e-4c4a-48c0-a4ba-41399b9c176d,Sun Ra,United States,264753,4804811
c3e515af-67f3-4bc8-849b-97468e2bd284,Tapps,Canada,6199,33177
38644649-5a30-4276-b14d-9dcd8d149d18,The Belmonts,,10963,52738
40681473-1e1b-4613-a196-12779c4231d5,The Caslons,United States,131,415
6d1d1faa-8c40-46fa-9b4a-6d1a2d601177,The Challengers,,27006,187757
8d07f60f-b9f4-46c0-9c27-31de0fb9b671,The Chameleons,,287963,6221590
bf67bc37-593d-4245-9329-7a008f049280,The Clovers,,103617,478992
d202b936-2de4-4357-8760-f61949f8855c,The Country Gentlemen,,32532,199768
db4361ac-19ff-438a-80fc-fa3a9957a66f,The Darling Buds,,24437,229042
9190f8a8-6472-4811-9223-3e985b08c9d0,The Essex Green,,108273,1436399
4f481574-be13-4d84-812e-22bcb995f0bf,The Hombres,,33497,124615
9a585db5-5609-472f-92b6-22feb69c323c,The Original Caste,Canada,3293,19055
af64d87b-4114-48e8-8c9a-b61b314a4bd4,The Rubettes,,123471,669426
090211d5-402f-404b-82bc-476be38111c4,The Soul Sisters,,12350,40992
795b83a0-9315-4201-aa82-675a1699a5c6,The Standells,,78859,517821
4534485d-0641-45e7-a99e-cd0a40dc7253,The Village Stompers,,5842,35889
6a726ac6-019e-455c-8bbb-571a77bed52e,Thin Lizzy,Ireland,967760,17651483
035813fb-7e1b-4a32-a066-ca280a5a425c,Triana,Spain,26858,449287
6b8dd132-4321-434e-bd6e-b4074a57f91f,U.K.,United Kingdom,0,0
